UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
9483,H38896,H,298.8,309.6,1309,57.4,185,0,0,0,0,0,0
9484,H38897,H,298.9,309.6,1546,35.3,190,0,0,0,0,0,0
9485,L56664,L,298.9,309.6,1663,33.7,195,0,0,0,0,0,0
9486,L56665,L,298.9,309.6,1589,34.2,197,0,0,0,0,0,0
9487,M24346,M,298.9,309.6,1472,46,199,0,0,0,0,0,0
9488,L56667,L,298.9,309.6,1583,39.8,202,0,0,0,0,0,0
9489,M24348,M,298.9,309.6,1567,34.5,204,0,0,0,0,0,0
9490,L56669,L,298.9,309.7,1407,41.9,207,0,0,0,0,0,0
9491,M24350,M,299,309.7,1418,44.7,209,0,0,0,0,0,0
9492,M24351,M,299,309.7,1489,40.7,212,0,0,0,0,0,0
9493,L56672,L,299.1,309.9,1586,36.6,215,0,0,0,0,0,0
9494,L56673,L,299.1,309.8,1398,55.4,217,1,0,0,0,1,0
9495,L56674,L,299.2,309.9,1516,41.4,219,0,0,0,0,0,0
9496,H38909,H,299.3,310,1373,44.8,221,0,0,0,0,0,0
9497,M24356,M,299.2,310,1349,50.4,226,0,0,0,0,0,0
9498,H38911,H,299.1,309.9,1443,40.3,0,0,0,0,0,0,0
9499,H38912,H,299.2,310.1,1542,36.1,5,0,0,0,0,0,0
9500,L56679,L,299.2,310.1,1534,37.7,10,0,0,0,0,0,0
9501,L56680,L,299.2,310.2,1697,30.6,12,0,0,0,0,0,0
9502,L56681,L,299.3,310.3,1396,47.4,14,0,0,0,0,0,0
9503,L56682,L,299.3,310.2,1495,49.2,16,0,0,0,0,0,0
9504,M24363,M,299.2,310.3,1551,44.8,18,0,0,0,0,0,0
9505,L56684,L,299.2,310.3,1440,47,21,0,0,0,0,0,0
9506,L56685,L,299.2,310.3,1429,40.1,23,0,0,0,0,0,0
9507,H38920,H,299.3,310.4,1548,41.6,25,0,0,0,0,0,0
9508,L56687,L,299.3,310.5,1505,38.8,30,0,0,0,0,0,0
9509,L56688,L,299.2,310.4,1611,36.4,32,0,0,0,0,0,0
9510,M24369,M,299.2,310.4,1502,39.8,34,0,0,0,0,0,0
9511,M24370,M,299.2,310.4,1504,43.3,37,0,0,0,0,0,0
9512,L56691,L,299.1,310.3,1449,40.7,40,0,0,0,0,0,0
9513,L56692,L,299,310.2,1575,37.8,42,0,0,0,0,0,0
9514,M24373,M,299,310.2,1598,33.4,44,0,0,0,0,0,0
9515,L56694,L,299,310.1,1416,45.9,47,0,0,0,0,0,0
9516,L56695,L,299,310.2,1682,28.8,49,0,0,0,0,0,0
9517,L56696,L,298.9,310.1,1341,54.5,51,0,0,0,0,0,0
9518,L56697,L,298.9,310.1,1523,39.1,53,0,0,0,0,0,0
9519,L56698,L,299,310.1,1580,41.9,55,0,0,0,0,0,0
9520,L56699,L,299,310.1,1531,36,57,0,0,0,0,0,0
9521,L56700,L,299,310.1,1375,48.9,59,0,0,0,0,0,0
9522,M24381,M,298.9,310.1,1484,40.4,61,0,0,0,0,0,0
9523,M24382,M,299,310.2,1657,32.3,64,0,0,0,0,0,0
9524,L56703,L,299,310.2,1494,40.6,67,0,0,0,0,0,0
9525,H38938,H,299,310.3,1658,27.6,69,0,0,0,0,0,0
9526,L56705,L,299.1,310.3,1411,42.1,74,0,0,0,0,0,0
9527,M24386,M,299.2,310.4,1395,55.4,76,0,0,0,0,0,0
9528,L56707,L,299.1,310.4,1550,43.9,79,0,0,0,0,0,0
9529,M24388,M,299.1,310.3,1233,59,81,0,0,0,0,0,0
9530,L56709,L,299.1,310.3,1459,46.7,84,0,0,0,0,0,0
9531,H38944,H,299.1,310.4,1405,53.6,86,0,0,0,0,0,0
9532,L56711,L,299.2,310.5,1458,44.1,91,0,0,0,0,0,0
9533,L56712,L,299.2,310.5,1384,48.7,93,0,0,0,0,0,0
9534,L56713,L,299.2,310.5,1705,29.5,95,0,0,0,0,0,0
9535,L56714,L,299.3,310.6,1443,45.7,97,0,0,0,0,0,0
9536,M24395,M,299.3,310.6,1609,31.4,99,0,0,0,0,0,0
9537,L56716,L,299.3,310.5,1818,26,102,0,0,0,0,0,0
9538,M24397,M,299.3,310.6,1457,42.1,104,0,0,0,0,0,0
9539,L56718,L,299.3,310.6,1480,45.1,107,0,0,0,0,0,0
9540,L56719,L,299.4,310.8,1424,47.7,109,0,0,0,0,0,0
9541,M24400,M,299.4,310.8,1628,40.2,111,0,0,0,0,0,0
9542,M24401,M,299.5,310.8,1754,31.3,114,0,0,0,0,0,0
9543,L56722,L,299.6,310.9,1716,28.5,117,0,0,0,0,0,0
9544,M24403,M,299.5,310.9,1378,48.7,119,0,0,0,0,0,0
9545,L56724,L,299.6,311,1708,31,122,0,0,0,0,0,0
9546,L56725,L,299.6,311,1430,38.3,124,0,0,0,0,0,0
9547,M24406,M,299.7,311.2,1560,43.9,126,0,0,0,0,0,0
9548,L56727,L,299.6,311.1,1679,30.7,129,0,0,0,0,0,0
9549,L56728,L,299.6,311.1,1521,37.2,131,0,0,0,0,0,0
9550,M24409,M,299.6,311.1,1649,33.8,133,0,0,0,0,0,0
9551,M24410,M,299.5,311,1451,43.3,136,0,0,0,0,0,0
9552,L56731,L,299.4,310.8,1391,48.9,139,0,0,0,0,0,0
9553,M24412,M,299.3,310.8,1523,40.9,141,0,0,0,0,0,0
9554,L56733,L,299.3,310.7,1495,39.2,144,0,0,0,0,0,0
9555,M24414,M,299.3,310.7,1440,45.5,146,0,0,0,0,0,0
9556,H38969,H,299.4,310.8,1585,31.4,149,0,0,0,0,0,0
9557,L56736,L,299.5,310.8,1374,48.3,154,0,0,0,0,0,0
9558,M24417,M,299.5,310.8,1507,40.2,156,0,0,0,0,0,0
9559,M24418,M,299.5,310.9,1577,34.6,159,0,0,0,0,0,0
9560,L56739,L,299.5,310.9,1496,38.5,162,0,0,0,0,0,0
9561,L56740,L,299.6,310.9,1487,42.5,164,0,0,0,0,0,0
9562,L56741,L,299.6,310.9,1853,26.3,166,0,0,0,0,0,0
9563,M24422,M,299.7,311,1435,50.1,168,0,0,0,0,0,0
9564,M24423,M,299.8,311.1,1763,25.5,171,0,0,0,0,0,0
9565,L56744,L,299.8,311.1,1820,24.9,174,0,0,0,0,0,0
9566,M24425,M,299.8,311.1,1498,38.1,176,0,0,0,0,0,0
9567,L56746,L,299.8,311.1,1603,35.1,179,0,0,0,0,0,0
9568,L56747,L,299.8,311.1,1412,42.5,181,0,0,0,0,0,0
9569,L56748,L,299.8,311.1,1588,38,183,0,0,0,0,0,0
9570,M24429,M,299.8,311,1948,20,185,0,0,0,0,0,0
9571,L56750,L,299.7,310.9,1384,48.2,188,0,0,0,0,0,0
9572,L56751,L,299.7,310.8,1589,36,190,0,0,0,0,0,0
9573,M24432,M,299.7,310.8,1405,47.6,192,0,0,0,0,0,0
9574,L56753,L,299.7,310.9,1491,40.1,195,0,0,0,0,0,0
9575,H38988,H,299.7,310.8,1418,46.6,197,0,0,0,0,0,0
9576,M24435,M,299.6,310.8,1603,35.4,202,0,0,0,0,0,0
9577,L56756,L,299.6,310.7,1922,23.3,205,1,1,0,0,0,0
9578,M24437,M,299.5,310.7,1364,49.5,0,0,0,0,0,0,0
9579,L56758,L,299.4,310.7,1551,41.2,3,0,0,0,0,0,0
9580,L56759,L,299.5,310.7,1589,33.5,5,0,0,0,0,0,0
9581,M24440,M,299.5,310.7,1423,56.5,7,0,0,0,0,0,0
9582,L56761,L,299.4,310.6,1418,53.1,10,0,0,0,0,0,0
9583,M24442,M,299.3,310.5,1404,47.5,12,0,0,0,0,0,0
9584,L56763,L,299.3,310.5,1281,59.8,15,0,0,0,0,0,0
9585,L56764,L,299.3,310.5,1529,41.3,17,0,0,0,0,0,0
9586,M24445,M,299.3,310.5,1563,42.1,19,0,0,0,0,0,0
9587,L56766,L,299.4,310.6,1348,54.5,22,0,0,0,0,0,0
9588,M24447,M,299.3,310.5,1462,40.5,24,0,0,0,0,0,0
9589,H39002,H,299.3,310.4,1510,45.5,27,0,0,0,0,0,0
9590,L56769,L,299.2,310.4,1472,43.3,32,0,0,0,0,0,0
9591,M24450,M,299.2,310.4,1325,52,34,0,0,0,0,0,0
9592,L56771,L,299.2,310.4,1570,37.3,37,0,0,0,0,0,0
9593,L56772,L,299.2,310.4,1379,46.8,39,0,0,0,0,0,0
9594,L56773,L,299.1,310.2,1352,52.8,41,0,0,0,0,0,0
9595,L56774,L,299.1,310.3,1727,28.7,43,0,0,0,0,0,0
9596,H39009,H,299,310.1,1432,50,45,0,0,0,0,0,0
9597,L56776,L,298.9,310.1,1466,43.4,50,0,0,0,0,0,0
9598,L56777,L,298.9,310.1,1510,38,52,0,0,0,0,0,0
9599,L56778,L,299,310.2,1490,41.1,54,0,0,0,0,0,0
9600,L56779,L,299,310.1,1463,37.4,56,0,0,0,0,0,0
9601,M24460,M,298.9,310,1561,45.3,58,0,0,0,0,0,0
9602,L56781,L,298.9,310.1,2109,18,61,0,0,0,0,0,0
9603,L56782,L,298.9,310.2,1705,32.5,63,0,0,0,0,0,0
9604,M24463,M,298.9,310.1,1549,40.2,65,0,0,0,0,0,0
9605,H39018,H,299,310.2,1637,38,68,0,0,0,0,0,0
9606,M24465,M,298.9,310.1,1484,37.9,73,0,0,0,0,0,0
9607,L56786,L,298.9,310.1,1401,44.4,76,0,0,0,0,0,0
9608,L56787,L,298.9,310.1,1571,36.8,78,0,0,0,0,0,0
9609,M24468,M,298.9,310.1,1513,41.5,80,0,0,0,0,0,0
9610,L56789,L,299,310.1,1470,40.3,83,0,0,0,0,0,0
9611,L56790,L,299,310.1,1505,41.3,85,0,0,0,0,0,0
9612,L56791,L,299,310.2,1432,42.2,87,0,0,0,0,0,0
9613,M24472,M,299,310.2,1625,31.8,89,0,0,0,0,0,0
9614,L56793,L,299,310.2,1377,62.5,92,1,0,0,1,0,0
9615,M24474,M,299.1,310.3,1441,43.9,94,0,0,0,0,0,0
9616,M24475,M,299,310.2,1564,39.9,97,0,0,0,0,0,0
9617,L56796,L,298.9,310.1,1580,37.3,100,0,0,0,0,0,0
9618,L56797,L,299,310.2,1516,35.3,102,0,0,0,0,0,0
9619,L56798,L,299,310.1,1447,42.8,104,0,0,0,0,0,0
9620,M24479,M,298.9,310,1323,52.9,106,0,0,0,0,0,0
9621,L56800,L,298.9,310,1470,45.9,109,0,0,0,0,0,0
9622,M24481,M,299,310,2049,19.5,111,0,0,0,0,0,0
9623,L56802,L,298.9,310,1794,27.2,114,0,0,0,0,0,0
9624,L56803,L,298.9,310.1,1356,47.8,116,0,0,0,0,0,0
9625,H39038,H,299,310.1,1555,38.6,118,0,0,0,0,0,0
9626,M24485,M,299,310.1,1487,47.5,123,0,0,0,0,0,0
9627,M24486,M,299,310,1341,58.9,126,0,0,0,0,0,0
9628,M24487,M,298.9,310,1487,36.6,129,0,0,0,0,0,0
9629,H39042,H,299,310,1569,34.3,132,0,0,0,0,0,0
9630,H39043,H,299,310.1,2053,19.7,137,0,0,0,0,0,0
9631,L56810,L,299,310.1,1583,35.8,142,0,0,0,0,0,0
9632,L56811,L,299,310,1672,33.2,144,0,0,0,0,0,0
9633,M24492,M,299,310,1337,57.4,146,0,0,0,0,0,0
9634,H39047,H,299.1,310.1,1421,41.2,149,0,0,0,0,0,0
9635,L56814,L,299.1,310.2,1425,52.7,154,0,0,0,0,0,0
9636,L56815,L,299.2,310.2,1609,33.2,156,0,0,0,0,0,0
9637,L56816,L,299.2,310.3,1507,41.3,158,0,0,0,0,0,0
9638,L56817,L,299.2,310.3,1463,38.9,160,0,0,0,0,0,0
9639,H39052,H,299.3,310.4,1393,44.9,162,0,0,0,0,0,0
9640,L56819,L,299.3,310.4,1725,26.8,167,0,0,0,0,0,0
9641,L56820,L,299.4,310.5,1514,36.1,169,0,0,0,0,0,0
9642,L56821,L,299.3,310.4,1365,53.9,171,0,0,0,0,0,0
9643,L56822,L,299.4,310.5,1372,46.3,173,0,0,0,0,0,0
9644,L56823,L,299.4,310.4,1509,40.6,175,0,0,0,0,0,0
9645,L56824,L,299.3,310.4,1629,32.6,177,0,0,0,0,0,0
9646,L56825,L,299.4,310.5,1749,28.1,179,0,0,0,0,0,0
9647,L56826,L,299.4,310.4,1582,31.7,181,0,0,0,0,0,0
9648,L56827,L,299.2,310.2,1458,47,183,0,0,0,0,0,0
9649,L56828,L,299.1,310.1,1416,41.2,185,0,0,0,0,0,0
9650,H39063,H,299.1,310,1657,33.1,187,0,0,0,0,0,0
9651,M24510,M,299.1,310,1437,41.1,192,0,0,0,0,0,0
9652,M24511,M,299.1,310,1580,36,195,0,0,0,0,0,0
9653,M24512,M,299,310,1488,46.3,198,0,0,0,0,0,0
9654,L56833,L,299,309.9,1373,55.7,201,1,0,0,0,1,0
9655,L56834,L,299.1,310,1367,56.3,203,1,0,0,0,1,0
9656,H39069,H,299.1,310,1431,49.5,205,0,0,0,0,0,0
9657,L56836,L,299,310.1,1623,33,210,0,0,0,0,0,0
9658,L56837,L,299,310,1484,39.6,212,0,0,0,0,0,0
9659,L56838,L,299,309.9,1548,34.5,214,0,0,0,0,0,0
9660,L56839,L,298.9,309.8,1287,61.9,216,1,0,0,0,1,0
9661,M24520,M,298.9,309.8,1392,43.1,218,0,0,0,0,0,0
9662,H39075,H,299,310,1458,44.9,221,0,0,0,0,0,0
9663,M24522,M,299.1,310.1,1570,30.9,226,0,0,0,0,0,0
9664,L56843,L,299.1,310.1,1435,48.8,229,1,0,0,0,1,0
9665,L56844,L,299.1,310.2,1317,54.8,231,1,0,0,0,1,0
9666,L56845,L,299.2,310.3,1610,33.3,233,0,0,0,0,0,0
9667,M24526,M,299.1,310.3,1838,24,235,0,0,0,0,0,0
9668,L56847,L,299.2,310.3,1352,48.9,238,1,0,0,0,1,0
9669,L56848,L,299.1,310.3,1619,35.2,240,0,0,0,0,0,0
9670,L56849,L,299.1,310.3,1619,31.1,242,0,0,0,0,0,0
9671,L56850,L,299,310.2,1690,30.7,244,0,0,0,0,0,0
9672,L56851,L,299,310.2,1412,44.1,246,0,0,0,0,0,0
9673,H39086,H,299,310.2,1744,31.5,0,0,0,0,0,0,0
9674,M24533,M,299,310.1,1593,35.4,5,0,0,0,0,0,0
9675,L56854,L,299.1,310.2,1695,29.6,8,0,0,0,0,0,0
9676,M24535,M,299,310.2,1298,57.2,10,0,0,0,0,0,0
9677,L56856,L,299,310.1,1886,21.2,13,0,0,0,0,0,0
9678,L56857,L,299,310.1,2033,19.3,15,0,0,0,0,0,0
9679,M24538,M,299.1,310.2,1711,28.1,17,0,0,0,0,0,0
9680,L56859,L,299.1,310.2,1598,33.4,20,0,0,0,0,0,0
9681,L56860,L,299.1,310.1,1894,24.2,22,0,0,0,0,0,0
9682,M24541,M,299.1,310.1,1412,44.4,24,0,0,0,0,0,0
9683,L56862,L,299.1,310,1394,46.6,27,0,0,0,0,0,0
9684,M24543,M,299,310,1338,56.4,29,0,0,0,0,0,0
9685,H39098,H,298.9,309.9,1376,51,32,0,0,0,0,0,0
9686,L56865,L,299,310,1360,48.1,37,0,0,0,0,0,0
9687,L56866,L,299.1,310.1,1486,40.7,39,0,0,0,0,0,0
9688,M24547,M,299.1,310.1,1649,31.6,41,0,0,0,0,0,0
9689,L56868,L,299.1,310.1,1367,45.6,44,0,0,0,0,0,0
9690,L56869,L,299,310.1,1362,59.5,46,0,0,0,0,0,0
9691,M24550,M,298.9,310,1520,35.6,48,0,0,0,0,0,0
9692,L56871,L,299,310,1582,31.9,51,0,0,0,0,0,0
9693,M24552,M,299,310,1667,30,53,0,0,0,0,0,0
9694,L56873,L,298.9,310,1693,28.8,56,0,0,0,0,0,0
9695,L56874,L,298.9,310,1559,33.4,58,0,0,0,0,0,0
9696,L56875,L,298.9,309.9,1592,32,60,0,0,0,0,0,0
9697,L56876,L,298.9,309.9,1404,39.8,62,0,0,0,0,0,0
9698,M24557,M,298.8,309.8,1413,45.5,64,0,0,0,0,0,0
9699,L56878,L,298.8,309.8,1663,28.2,67,0,0,0,0,0,0
9700,L56879,L,298.8,309.8,1508,36.3,69,0,0,0,0,0,0
9701,M24560,M,298.9,309.8,1353,53.7,71,0,0,0,0,0,0
9702,L56881,L,298.8,309.8,1485,42.4,74,0,0,0,0,0,0
9703,L56882,L,298.9,310,1633,31.2,76,0,0,0,0,0,0
9704,L56883,L,298.9,310,1422,43.6,78,0,0,0,0,0,0
9705,L56884,L,298.9,310.1,1577,41.4,80,0,0,0,0,0,0
9706,L56885,L,298.9,310,1482,41.1,82,0,0,0,0,0,0
9707,M24566,M,299,310.1,1705,30.1,84,0,0,0,0,0,0
9708,L56887,L,299,310.1,1699,32.9,87,0,0,0,0,0,0
9709,L56888,L,299,310.1,1664,29.7,89,0,0,0,0,0,0
9710,M24569,M,299,310,1486,34.6,91,0,0,0,0,0,0
9711,L56890,L,299.1,310.1,1336,61.3,94,0,0,0,0,0,0
9712,H39125,H,299.1,310.1,1429,42.9,96,0,0,0,0,0,0
9713,M24572,M,299.1,310.2,1456,48.4,101,0,0,0,0,0,0
9714,L56893,L,299.1,310.2,1496,45,104,0,0,0,0,0,0
9715,L56894,L,299.1,310.1,1894,20.1,106,0,0,0,0,0,0
9716,L56895,L,299.1,310.1,1373,55.6,108,0,0,0,0,0,0
9717,H39130,H,299,310,1387,45.2,110,0,0,0,0,0,0
9718,L56897,L,298.9,309.9,1500,44.2,115,0,0,0,0,0,0
9719,L56898,L,298.9,309.9,1517,36.6,117,0,0,0,0,0,0
9720,L56899,L,298.9,309.9,1309,56.2,119,0,0,0,0,0,0
9721,M24580,M,298.9,309.9,1357,54.5,121,0,0,0,0,0,0
9722,L56901,L,298.8,309.8,1490,40.6,124,0,0,0,0,0,0
9723,H39136,H,298.8,309.8,1911,21.6,126,0,0,0,0,0,0
9724,L56903,L,298.8,309.8,1599,33.6,131,0,0,0,0,0,0
9725,M24584,M,298.8,309.7,2098,19,133,0,0,0,0,0,0
9726,M24585,M,298.7,309.7,1629,27.9,136,0,0,0,0,0,0
9727,L56906,L,298.8,309.8,1557,37.2,139,0,0,0,0,0,0
9728,L56907,L,298.8,309.8,1461,39.4,141,0,0,0,0,0,0
9729,L56908,L,298.8,309.8,1563,33.7,143,0,0,0,0,0,0
9730,L56909,L,298.7,309.8,1695,29,145,0,0,0,0,0,0
9731,L56910,L,298.8,310,1528,36.7,147,0,0,0,0,0,0
9732,L56911,L,298.8,310,1389,49.6,149,0,0,0,0,0,0
9733,L56912,L,298.9,310,2231,17.4,151,0,0,0,0,0,0
9734,M24593,M,298.9,310.1,1442,42.9,153,0,0,0,0,0,0
9735,H39148,H,298.9,310.1,1458,44.3,156,0,0,0,0,0,0
9736,L56915,L,299,310.1,1444,47.7,161,0,0,0,0,0,0
9737,M24596,M,298.9,310,1348,58.2,163,0,0,0,0,0,0
9738,L56917,L,298.9,310,1791,27.6,166,0,0,0,0,0,0
9739,L56918,L,299,310,1509,38,168,0,0,0,0,0,0
9740,L56919,L,298.9,310,1515,42.9,170,0,0,0,0,0,0
9741,M24600,M,298.9,310.1,1655,31.5,172,0,0,0,0,0,0
9742,L56921,L,298.9,310.1,1495,42.9,175,0,0,0,0,0,0
9743,L56922,L,298.9,310.2,1623,37.2,177,0,0,0,0,0,0
9744,L56923,L,298.9,310.2,1562,42.5,179,0,0,0,0,0,0
9745,L56924,L,298.8,310.1,1574,36.2,181,0,0,0,0,0,0
9746,L56925,L,298.8,310,1611,32.4,183,0,0,0,0,0,0
9747,L56926,L,298.8,310,1403,45.6,185,0,0,0,0,0,0
9748,L56927,L,298.8,310.1,1481,47.4,187,0,0,0,0,0,0
9749,M24608,M,298.9,310.1,1441,41.2,189,0,0,0,0,0,0
9750,H39163,H,298.8,310.1,1483,45.4,192,0,0,0,0,0,0
9751,L56930,L,298.7,310,1555,32.6,197,0,0,0,0,0,0
9752,L56931,L,298.6,309.9,1615,28.8,199,0,0,0,0,0,0
9753,L56932,L,298.6,309.8,1561,32.6,201,0,0,0,0,0,0
9754,L56933,L,298.5,309.8,1593,35.1,203,0,0,0,0,0,0
9755,M24614,M,298.5,309.7,1552,34,205,0,0,0,0,0,0
9756,H39169,H,298.5,309.7,1561,35.3,208,0,0,0,0,0,0
9757,L56936,L,298.6,309.8,1597,35.9,213,0,0,0,0,0,0
9758,M24617,M,298.6,309.9,1517,34,215,0,0,0,0,0,0
9759,L56938,L,298.6,309.8,2271,16.2,218,1,1,0,0,0,0
9760,L56939,L,298.5,309.7,1613,36.7,0,0,0,0,0,0,0
9761,M24620,M,298.5,309.6,1509,47.3,2,0,0,0,0,0,0
9762,L56941,L,298.6,309.7,1703,26.1,5,0,0,0,0,0,0
9763,L56942,L,298.6,309.7,1925,22.1,7,0,0,0,0,0,0
9764,M24623,M,298.6,309.6,1635,29.7,9,0,0,0,0,0,0
9765,L56944,L,298.5,309.5,1294,66.7,12,1,0,0,1,0,0
9766,L56945,L,298.6,309.6,1472,39.1,14,0,0,0,0,0,0
9767,H39180,H,298.6,309.6,1449,42.5,16,0,0,0,0,0,0
9768,L56947,L,298.6,309.6,1563,35,21,0,0,0,0,0,0
9769,L56948,L,298.6,309.6,1611,35.7,23,0,0,0,0,0,0
9770,L56949,L,298.6,309.6,1386,48.6,25,0,0,0,0,0,0
9771,H39184,H,298.6,309.5,1584,31.8,27,0,0,0,0,0,0
9772,M24631,M,298.7,309.6,1424,50.4,32,0,0,0,0,0,0
9773,L56952,L,298.5,309.5,1561,34.8,35,0,0,0,0,0,0
9774,L56953,L,298.5,309.4,1560,37.9,37,0,0,0,0,0,0
9775,H39188,H,298.6,309.5,1375,41,39,0,0,0,0,0,0
9776,M24635,M,298.6,309.5,1684,27.8,44,0,0,0,0,0,0
9777,M24636,M,298.6,309.6,1397,54.1,47,0,0,0,0,0,0
9778,L56957,L,298.6,309.6,1387,57.6,50,0,0,0,0,0,0
9779,H39192,H,298.7,309.7,1311,54.5,52,0,0,0,0,0,0
9780,L56959,L,298.8,309.8,1509,36.2,57,0,0,0,0,0,0
9781,M24640,M,298.8,309.8,1477,46.7,59,0,0,0,0,0,0
9782,L56961,L,298.8,309.9,1441,41.6,62,0,0,0,0,0,0
9783,L56962,L,298.7,309.9,1404,47.1,64,0,0,0,0,0,0
9784,H39197,H,298.8,309.9,1466,44.6,66,0,0,0,0,0,0
9785,M24644,M,298.7,309.8,1435,48.8,71,0,0,0,0,0,0
9786,H39199,H,298.7,309.7,1697,29.8,74,0,0,0,0,0,0
9787,M24646,M,298.7,309.6,1738,27.3,79,0,0,0,0,0,0
9788,H39201,H,298.6,309.5,1420,50.4,82,0,0,0,0,0,0
9789,M24648,M,298.5,309.5,1535,39.8,87,0,0,0,0,0,0
9790,L56969,L,298.6,309.6,1715,28.4,90,0,0,0,0,0,0
9791,L56970,L,298.6,309.5,1483,43.2,92,0,0,0,0,0,0
9792,M24651,M,298.5,309.4,1521,37.5,94,0,0,0,0,0,0
9793,H39206,H,298.5,309.4,1573,36,97,0,0,0,0,0,0
9794,H39207,H,298.5,309.4,1414,46.7,102,0,0,0,0,0,0
9795,L56974,L,298.5,309.3,1590,33.9,107,0,0,0,0,0,0
9796,L56975,L,298.5,309.3,1623,33.1,109,0,0,0,0,0,0
9797,H39210,H,298.4,309.3,1694,30.9,111,0,0,0,0,0,0
9798,M24657,M,298.4,309.2,1597,33.5,116,0,0,0,0,0,0
9799,L56978,L,298.5,309.3,1471,44.7,119,0,0,0,0,0,0
9800,M24659,M,298.5,309.3,1551,34.7,121,0,0,0,0,0,0
9801,H39214,H,298.5,309.3,1421,50.3,124,0,0,0,0,0,0
9802,M24661,M,298.4,309.3,1496,45.6,129,0,0,0,0,0,0
9803,H39216,H,298.4,309.3,1984,19.2,132,0,0,0,0,0,0
9804,L56983,L,298.4,309.2,1692,29.8,137,0,0,0,0,0,0
9805,L56984,L,298.4,309.1,1467,42.5,139,0,0,0,0,0,0
9806,L56985,L,298.4,309.2,1651,28.5,141,0,0,0,0,0,0
9807,L56986,L,298.3,309.1,1417,60.5,143,0,0,0,0,0,0
9808,L56987,L,298.2,309,1413,55,145,0,0,0,0,0,0
9809,M24668,M,298.2,309,1441,44.2,147,0,0,0,0,0,0
9810,M24669,M,298.2,309,1353,50.3,150,0,0,0,0,0,0
9811,L56990,L,298.1,309,1502,40.9,153,0,0,0,0,0,0
9812,L56991,L,298.2,309,1610,31.7,155,0,0,0,0,0,0
9813,M24672,M,298.2,309.1,1411,45.8,157,0,0,0,0,0,0
9814,L56993,L,298.3,309.1,1387,52.3,160,0,0,0,0,0,0
9815,H39228,H,298.3,309.1,1430,40.9,162,0,0,0,0,0,0
9816,M24675,M,298.4,309.1,1576,38.8,167,0,0,0,0,0,0
9817,M24676,M,298.5,309.2,1721,29.4,170,0,0,0,0,0,0
9818,M24677,M,298.5,309.3,1465,42.4,173,0,0,0,0,0,0
9819,M24678,M,298.6,309.4,1407,45.1,176,0,0,0,0,0,0
9820,M24679,M,298.6,309.4,1464,36.9,179,0,0,0,0,0,0
9821,M24680,M,298.6,309.5,1568,36.7,182,0,0,0,0,0,0
9822,L57001,L,298.6,309.4,1667,35.6,185,0,0,0,0,0,0
9823,L57002,L,298.5,309.4,1360,60.9,187,1,0,0,0,1,0
9824,M24683,M,298.5,309.3,1488,43.7,189,0,0,0,0,0,0
9825,L57004,L,298.4,309.3,1504,39.3,192,0,0,0,0,0,0
9826,L57005,L,298.4,309.2,1610,32.4,194,0,0,0,0,0,0
9827,L57006,L,298.4,309.2,1345,52.7,196,0,0,0,0,0,0
9828,M24687,M,298.3,309.3,1376,57,198,0,0,0,0,0,0
9829,L57008,L,298.4,309.4,1385,50,201,0,0,0,0,0,0
9830,M24689,M,298.4,309.4,1429,41.8,203,0,0,0,0,0,0
9831,L57010,L,298.3,309.3,1337,56.1,206,1,0,0,0,1,0
9832,L57011,L,298.4,309.3,1542,35.4,208,0,0,0,0,0,0
9833,L57012,L,298.4,309.2,2118,17.7,210,0,0,0,0,0,0
9834,L57013,L,298.3,309.1,1386,45.3,212,0,0,0,0,0,0
9835,M24694,M,298.3,309.1,1632,32.7,0,0,0,0,0,0,0
9836,L57015,L,298.4,309.3,1545,36.9,3,0,0,0,0,0,0
9837,M24696,M,298.4,309.3,1390,53.6,5,0,0,0,0,0,0
9838,M24697,M,298.4,309.3,1355,50.6,8,0,0,0,0,0,0
9839,L57018,L,298.4,309.2,1425,45.5,11,0,0,0,0,0,0
9840,M24699,M,298.4,309.2,1491,51.2,13,0,0,0,0,0,0
9841,H39254,H,298.3,309.2,1486,42.4,16,0,0,0,0,0,0
9842,M24701,M,298.3,309.2,1359,51.4,21,0,0,0,0,0,0
9843,L57022,L,298.4,309.3,1395,47.6,24,0,0,0,0,0,0
9844,L57023,L,298.3,309.2,1383,52.1,26,0,0,0,0,0,0
9845,H39258,H,298.3,309.1,1484,37,28,0,0,0,0,0,0
9846,L57025,L,298.3,309.1,1421,47.4,33,0,0,0,0,0,0
9847,L57026,L,298.3,309,1339,58.8,35,0,0,0,0,0,0
9848,L57027,L,298.4,309.1,1362,46.1,37,0,0,0,0,0,0
9849,H39262,H,298.5,309.2,1568,40.6,39,0,0,0,0,0,0
9850,L57029,L,298.6,309.4,2312,15.5,44,0,0,0,0,0,0
9851,M24710,M,298.5,309.3,1498,34.6,46,0,0,0,0,0,0
9852,M24711,M,298.5,309.3,1761,27.2,49,0,0,0,0,0,0
9853,L57032,L,298.6,309.4,1316,51.4,52,0,0,0,0,0,0
9854,L57033,L,298.6,309.4,1525,37.8,54,0,0,0,0,0,0
9855,H39268,H,298.6,309.4,1362,45.3,56,0,0,0,0,0,0
